Time,Pressure,Temperature,Position,Flow,Speed,CycleCount,Health,Fault,Vibration,Load
1,5.21,30.26,10,9.84,122.97,0,100.0,Healthy,0.29,16.46
2,5.2,30.33,20,9.68,123.74,0,100.0,Healthy,0.49,18.05
3,5.39,30.45,30,9.9,121.88,0,99.99,Healthy,0.44,19.92
4,5.43,30.73,40,9.92,122.62,0,99.99,Healthy,0.33,21.96
5,5.42,30.95,50,9.7,123.06,0,99.99,Healthy,0.36,23.61
6,5.45,31.29,60,9.8,121.0,0,99.98,Healthy,0.32,25.45
7,5.32,31.52,70,10.29,121.94,0,99.98,Healthy,0.36,26.41
8,5.37,31.69,80,9.75,122.49,0,99.98,Healthy,0.5,27.63
9,5.59,31.84,90,9.75,121.03,0,99.97,Healthy,0.53,28.36
10,5.51,31.98,100,9.92,121.23,0,99.97,Healthy,0.39,29.47
11,5.42,32.16,90,10.27,121.71,0,99.97,Healthy,0.41,30.5
12,5.56,32.29,80,10.15,122.82,0,99.97,Healthy,0.45,30.49
13,5.54,32.32,70,9.79,119.5,0,99.96,Healthy,0.57,31.67
14,5.55,32.52,60,9.73,119.24,0,99.96,Healthy,0.54,32.4
15,5.46,32.68,50,10.16,121.33,0,99.96,Healthy,0.47,33.04
16,5.5,32.94,40,10.02,119.97,0,99.95,Healthy,0.57,34.15
17,5.57,33.08,30,10.12,118.61,0,99.95,Healthy,0.46,34.85
18,5.6,33.15,20,10.06,116.87,0,99.95,Healthy,0.37,34.52
19,5.6,33.21,10,9.84,119.22,0,99.95,Healthy,0.53,34.65
20,5.59,33.28,0,9.93,117.27,1,99.95,Healthy,0.44,34.65
21,5.62,33.34,10,10.1,117.17,1,99.95,Healthy,0.54,34.39
22,5.51,33.48,20,9.78,119.06,1,99.94,Healthy,0.37,34.82
23,5.63,33.4,30,10.03,116.88,1,99.94,Healthy,0.53,34.6
24,5.69,33.24,40,10.28,117.54,1,99.93,Healthy,0.45,34.94
25,5.65,33.3,50,10.16,120.62,1,99.93,Healthy,0.47,34.98
26,5.65,33.17,60,9.69,118.35,1,99.93,Healthy,0.47,34.69
27,5.59,33.1,70,10.25,117.2,1,99.93,Healthy,0.56,34.43
28,5.62,33.18,80,9.68,117.14,1,99.93,Healthy,0.49,34.9
29,5.57,33.29,90,9.84,117.22,1,99.92,Healthy,0.47,35.48
30,5.63,33.32,100,10.04,117.18,1,99.92,Healthy,0.48,35.09
31,5.53,33.36,90,9.85,118.94,1,99.91,Healthy,0.43,34.81
32,5.64,33.3,80,10.04,121.3,1,99.91,Healthy,0.57,35.2
33,5.53,33.29,70,9.85,117.51,1,99.91,Healthy,0.52,35.85
34,5.71,33.4,60,9.69,119.66,1,99.91,Healthy,0.37,35.77
35,5.55,33.47,50,9.96,119.75,1,99.9,Healthy,0.39,36.71
36,5.52,33.47,40,9.91,119.07,1,99.9,Healthy,0.37,36.41
37,5.54,33.55,30,9.9,119.47,1,99.89,Healthy,0.45,37.29
38,5.72,33.51,20,10.3,117.01,1,99.89,Healthy,0.56,38.1
39,5.76,33.57,10,10.2,117.99,1,99.89,Healthy,0.55,37.74
40,5.63,33.53,0,9.68,118.18,2,99.89,Healthy,0.59,38.13
41,5.61,33.52,10,10.11,117.65,2,99.89,Healthy,0.39,38.73
42,5.72,33.45,20,10.24,117.3,2,99.88,Healthy,0.58,38.78
43,5.58,33.65,30,10.07,117.17,2,99.88,Healthy,0.48,39.49
44,5.63,33.7,40,9.68,117.48,2,99.88,Healthy,0.57,40.02
45,5.63,33.87,50,9.95,119.97,2,99.88,Healthy,0.53,40.28
46,5.72,33.93,60,10.12,116.72,2,99.87,Healthy,0.52,40.75
47,5.77,33.93,70,9.77,118.02,2,99.87,Healthy,0.58,40.45
48,5.74,34.01,80,9.88,117.3,2,99.87,Healthy,0.51,40.75
49,5.76,34.06,90,9.85,118.35,2,99.87,Healthy,0.41,40.95
50,5.78,34.21,100,9.75,115.38,2,99.86,Healthy,0.53,40.54
51,5.74,34.17,90,10.15,116.95,2,99.86,Healthy,0.42,40.97
52,5.82,34.24,80,10.19,116.02,2,99.86,Healthy,0.55,41.33
53,5.64,34.24,70,9.74,117.14,2,99.85,Healthy,0.52,41.74
54,5.8,34.31,60,10.27,117.03,2,99.85,Healthy,0.49,41.45
55,5.78,34.35,50,10.24,116.35,2,99.85,Healthy,0.5,41.2
56,5.66,34.22,40,9.89,119.39,2,99.85,Healthy,0.42,41.33
57,5.69,34.1,30,9.88,117.42,2,99.84,Healthy,0.58,40.76
58,5.61,34.1,20,10.27,117.83,2,99.84,Healthy,0.61,41.25
59,5.81,34.18,10,10.03,118.52,2,99.84,Healthy,0.6,41.63
60,5.7,34.25,0,10.12,118.9,3,99.83,Healthy,0.59,41.41
61,5.82,34.09,10,10.06,118.26,3,99.83,Healthy,0.49,41.28
62,5.67,34.22,20,9.97,116.77,3,99.83,Healthy,0.45,40.77
63,5.72,34.29,30,10.17,115.25,3,99.83,Healthy,0.44,41.11
64,5.59,34.29,40,9.82,119.41,3,99.83,Healthy,0.44,40.31
65,5.71,34.29,50,9.83,116.91,3,99.82,Healthy,0.62,40.84
66,5.66,34.28,60,10.06,119.88,3,99.82,Healthy,0.6,40.24
67,5.72,34.29,70,10.23,116.59,3,99.81,Healthy,0.45,39.73
68,5.72,34.3,80,9.68,117.94,3,99.81,Healthy,0.4,40.1
69,5.7,34.34,90,9.95,117.14,3,99.81,Healthy,0.49,39.91
70,5.73,34.37,100,10.08,119.93,3,99.81,Healthy,0.49,39.88
71,5.63,34.3,90,10.3,116.81,3,99.81,Healthy,0.56,39.57
72,5.68,34.23,80,9.88,117.93,3,99.8,Healthy,0.44,39.31
73,5.71,34.13,70,10.01,116.3,3,99.8,Healthy,0.48,39.83
74,5.75,34.07,60,9.96,115.46,3,99.8,Healthy,0.48,39.74
75,5.7,34.07,50,9.89,120.42,3,99.8,Healthy,0.46,39.51
76,5.74,34.14,40,9.87,119.27,3,99.79,Healthy,0.54,39.1
77,5.7,34.22,30,10.18,118.62,3,99.79,Healthy,0.57,38.79
78,5.71,34.08,20,9.75,115.85,3,99.79,Air Leakage,0.45,38.54
79,5.77,33.91,10,9.84,119.91,3,99.79,Air Leakage,0.41,38.37
80,5.66,33.94,0,9.97,118.68,4,99.79,Air Leakage,0.58,38.08
81,5.57,33.89,10,10.21,118.62,4,99.78,Air Leakage,0.44,38.81
82,5.58,33.84,20,10.29,115.62,4,99.78,Air Leakage,0.46,38.54
83,5.53,33.87,30,9.73,119.39,4,99.77,Air Leakage,0.61,38.26
84,5.67,33.94,40,10.33,118.81,4,99.76,Air Leakage,0.4,38.24
85,5.66,33.96,50,9.82,117.62,4,99.75,Air Leakage,0.5,38.42
86,5.51,34.02,60,9.96,118.1,4,99.74,Air Leakage,0.5,37.93
87,5.49,33.93,70,10.33,117.45,4,99.73,Air Leakage,0.55,38.48
88,5.64,34.0,80,9.69,118.1,4,99.71,Air Leakage,0.68,39.07
89,5.54,34.07,90,10.38,116.25,4,99.69,Air Leakage,0.54,39.28
90,5.53,34.08,100,10.22,118.85,4,99.67,Air Leakage,0.68,38.76
91,5.56,34.07,90,10.05,118.9,4,99.66,Air Leakage,0.77,38.72
92,5.73,34.18,80,10.09,120.13,4,99.64,Air Leakage,0.63,38.71
93,5.73,34.27,70,9.82,115.84,4,99.62,Air Leakage,0.72,38.19
94,5.58,34.37,60,10.46,118.16,4,99.61,Air Leakage,0.59,38.51
95,5.72,34.3,50,10.24,115.56,4,99.59,Air Leakage,0.59,39.23
96,5.51,34.32,40,9.92,117.72,4,99.56,Air Leakage,0.69,39.48
97,5.56,34.52,30,10.26,114.26,4,99.53,Air Leakage,0.74,39.4
98,5.48,34.66,20,10.03,116.65,4,99.49,Air Leakage,0.62,38.83
99,5.7,34.62,10,10.37,118.48,4,99.47,Air Leakage,0.82,39.2
100,5.65,34.45,0,9.93,118.51,5,99.44,Air Leakage,0.58,38.63
101,5.46,34.57,10,9.96,114.29,5,99.4,Air Leakage,0.79,38.48
102,5.65,34.61,20,10.27,116.72,5,99.38,Air Leakage,0.68,38.15
103,5.47,34.63,30,10.05,117.34,5,99.34,Air Leakage,0.78,38.07
104,5.49,34.76,40,9.88,114.5,5,99.31,Air Leakage,0.76,38.36
105,5.48,34.78,50,10.41,116.77,5,99.28,Air Leakage,0.74,38.55
106,5.4,34.58,60,10.61,116.11,5,99.23,Air Leakage,0.59,39.27
107,5.46,34.46,70,10.58,116.94,5,99.2,Air Leakage,0.92,38.63
108,5.53,34.58,80,10.45,116.88,5,99.17,Air Leakage,0.69,38.36
109,5.45,34.63,90,9.94,114.94,5,99.12,Air Leakage,0.81,37.9
110,5.62,34.77,100,9.97,119.01,5,99.1,Air Leakage,0.68,37.72
111,5.5,34.71,90,10.36,114.78,5,99.05,Air Leakage,0.79,38.01
112,5.41,34.79,80,10.45,116.1,5,99.01,Air Leakage,0.94,38.61
113,5.5,34.82,70,10.37,117.11,5,98.95,Air Leakage,0.67,38.08
114,5.56,34.87,60,9.82,115.01,5,98.92,Air Leakage,0.64,38.06
115,5.34,34.95,50,10.24,115.97,5,98.89,Air Leakage,0.92,37.84
116,5.69,34.79,40,10.26,112.68,5,98.84,Air Leakage,0.87,38.31
117,5.51,34.74,30,10.26,119.59,5,98.79,Air Leakage,0.89,37.9
118,5.34,34.66,20,10.31,115.7,5,98.75,Air Leakage,1.1,37.88
